b'pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode\r\n'
b'HS,2012,201203,March 2012,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,8355931302,,,0\r\n'
b'HS,2012,201203,March 2012,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5367571368,,,0\r\n'
b'HS,2012,201204,April 2012,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,8002308774,,,0\r\n'
b'HS,2012,201204,April 2012,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5176958436,,,0\r\n'
b'HS,2012,201204,April 2012,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,17437,,,0\r\n'
b'HS,2012,201205,May 2012,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,7403649606,,,0\r\n'
b'HS,2012,201205,May 2012,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5298648583,,,0\r\n'
b'HS,2012,201205,May 2012,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,3813,,,0\r\n'
b'HS,2012,201206,June 2012,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,6642414461,,,0\r\n'
b'HS,2012,201206,June 2012,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,4694310238,,,0\r\n'
b'HS,2012,201206,June 2012,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,12404,,,0\r\n'
b'HS,2012,201207,July 2012,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,6368795657,,,0\r\n'
b'HS,2012,201207,July 2012,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5848167286,,,0\r\n'
b'HS,2012,201207,July 2012,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,8055,,,0\r\n'
b'HS,2012,201208,August 2012,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,8196854576,,,0\r\n'
b'HS,2012,201208,August 2012,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5154644324,,,0\r\n'
b'HS,2012,201208,August 2012,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,10911,,,0\r\n'
b'HS,2012,201209,September 2012,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,6977730621,,,0\r\n'
b'HS,2012,201209,September 2012,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,4401612989,,,0\r\n'
b'HS,2012,201209,September 2012,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,1894,,,0\r\n'
b'HS,2012,201210,October 2012,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,7193821895,,,0\r\n'
b'HS,2012,201210,October 2012,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,4869940548,,,0\r\n'
b'HS,2012,201210,October 2012,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,2281,,,0\r\n'
b'HS,2012,201211,November 2012,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,8200290982,,,0\r\n'
b'HS,2012,201211,November 2012,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,4359875847,,,0\r\n'
b'HS,2012,201212,December 2012,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,9163151249,,,0\r\n'
b'HS,2012,201212,December 2012,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5284450719,,,0\r\n'
b'HS,2012,201212,December 2012,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,30787,,,0\r\n'
b'HS,2013,201301,January 2013,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,7565412045,,,0\r\n'
