Oil: Refinery Capacities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 over,share,
Thousand barrels daily*,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2014,of total,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,462,455,496,543,554,603,624,640,686,689,702,691,715,715,730,723,725,725,725,723,670,659,647,660,662,662,677,694,703,708,730,751,793,810,828,828,815,829,756,763,718,694,733,734,734,740,742,663,662,536,443,-17.4%,0.5%,
Bangladesh,-,-,-,-,-,-,-,31,31,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,33,33,33,33,33,33,33,33,33,33,36,36,36,37,40,40,40,_,_,
China,221,291,291,423,494,554,703,801,934,1125,1215,1442,1607,1578,1600,1805,1810,2000,2048,2053,2149,2169,2229,2343,2470,2892,2892,3044,3334,3567,4014,4226,4559,4592,5401,5407,5643,6305,6663,7065,7752,8476,8751,9163,9479,10302,10834,11933,13304,14109,14262,1.1%,14.7%,
India,231,329,320,367,424,412,415,489,499,555,564,568,564,626,557,557,557,753,779,705,867,991,1059,1051,1080,1122,1122,1041,1069,1072,1133,1210,1236,1356,2190,2219,2261,2303,2293,2558,2558,2872,2983,2992,3574,3703,3795,4279,4319,4319,4307,-0.3%,4.4%,
Indonesia,237,241,251,251,256,284,361,361,361,361,361,473,473,450,450,449,447,447,447,857,867,867,867,866,866,866,866,866,866,991,991,991,1061,1096,1127,1127,1127,1057,1057,1057,1057,1157,1147,1052,1085,1141,1041,1041,1077,1055,1116,5.8%,1.1%,
Japan,1917,2102,2214,2613,3029,3504,3904,4635,5140,5377,5567,5643,5643,5643,5643,5643,5643,5643,4724,4724,4724,4619,4461,4324,4324,4324,4505,4636,4802,4862,5006,5006,5056,5144,5087,5010,4705,4728,4645,4531,4531,4588,4650,4650,4630,4291,4274,4254,4123,3749,3721,-0.8%,3.8%,
Malaysia,118,123,124,120,124,125,125,123,123,182,143,168,140,143,158,172,175,175,205,205,209,213,213,213,220,230,235,235,240,350,365,376,376,476,491,572,559,524,527,527,522,528,534,568,572,582,601,606,612,612,612,_,0.6%,
New Zealand,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,88,88,88,88,88,88,88,88,88,97,97,96,96,96,101,104,104,104,102,102,103,103,136,136,136,136,136,136,136,_,0.1%,
Pakistan,52,62,62,62,62,62,62,62,62,62,62,62,96,96,96,113,113,113,113,113,113,113,113,113,113,129,129,129,129,132,132,131,132,131,134,134,227,227,228,256,269,271,271,274,273,277,277,275,390,390,390,_,0.4%,
Philippines,102,109,171,187,195,199,206,275,275,275,275,246,246,257,257,256,276,291,291,291,291,291,291,291,291,291,291,291,291,301,366,369,389,394,396,398,398,398,335,280,280,276,270,270,267,264,261,261,270,271,271,_,0.3%,
